,bh,bh_id,bj,jg_id,jgmc,njdm_id,njmc,xqh_id,zyh,zyh_id,zymc
1,15015001,15015001,地规151,1,地理科学学院,2015,2015,1,151,151,人文地理与城乡规划(不动产)(0151)
2,15015002,15015002,地规152,1,地理科学学院,2015,2015,1,152,152,人文地理与城乡规划(区域物流)(0152)
3,15016001,15016001,地环151,1,地理科学学院,2015,2015,1,160,160,自然地理与资源环境(0160)
4,15011001,15011001,地理151,1,地理科学学院,2015,2015,1,110,110,地理科学(0110)
5,15014001,15014001,地信151,1,地理科学学院,2015,2015,1,140,140,地理信息科学(0140)
6,15021001,15021001,法学151,2,法学院(律师学院)(含检察理论研究中心),2015,2015,1,212,212,法学(律师)(0212)
7,15021002,15021002,法学152,2,法学院(律师学院)(含检察理论研究中心),2015,2015,1,210,210,法学(0210)
8,15021003,15021003,法学153,2,法学院(律师学院)(含检察理论研究中心),2015,2015,1,210,210,法学(0210)
9,15021004,15021004,法学154,2,法学院(律师学院)(含检察理论研究中心),2015,2015,1,210,210,法学(0210)
10,15021005,15021005,法学155,2,法学院(律师学院)(含检察理论研究中心),2015,2015,1,210,210,法学(0210)
11,15021006,15021006,法学156,2,法学院(律师学院)(含检察理论研究中心),2015,2015,1,212,212,法学(律师)(0212)
12,15021007,15021007,法学157,2,法学院(律师学院)(含检察理论研究中心),2015,2015,1,210,210,法学(0210)
13,15034001,15034001,公共151,3,公共管理学院(含廉政研究中心),2015,2015,1,340,340,公共事业管理(0340)
14,15033401,15033401,公共152,3,公共管理学院(含廉政研究中心),2015,2015,1,334,334,公共事业管理（高水平运动员）(0334)
15,15031001,15031001,社工151,3,公共管理学院(含廉政研究中心),2015,2015,1,310,310,社会工作(0310)
16,15031002,15031002,社工152,3,公共管理学院(含廉政研究中心),2015,2015,1,310,310,社会工作(0310)
17,15033001,15033001,行政151,3,公共管理学院(含廉政研究中心),2015,2015,1,330,330,行政管理(0330)
18,15033002,15033002,行政152,3,公共管理学院(含廉政研究中心),2015,2015,1,330,330,行政管理(0330)
19,15041001,15041001,环工151,4,环境科学与工程学院,2015,2015,1,410,410,环境工程(0410)
20,15041002,15041002,环工152,4,环境科学与工程学院,2015,2015,1,410,410,环境工程(0410)
21,15042001,15042001,环科151,4,环境科学与工程学院,2015,2015,1,420,420,环境科学(0420)
22,15042002,15042002,环科152,4,环境科学与工程学院,2015,2015,1,,,
23,15052001,15052001,化工151,5,化学化工学院,2015,2015,1,520,520,化学工程与工艺(0520)
24,15052002,15052002,化工152,5,化学化工学院,2015,2015,1,520,520,化学工程与工艺(0520)
25,15053003,15053003,化工153,5,化学化工学院,2015,2015,1,520,520,化学工程与工艺(0520)
26,15051001,15051001,化学151,5,化学化工学院,2015,2015,1,514,514,化学(教师教育)(0514)
27,15051002,15051002,化学152,5,化学化工学院,2015,2015,1,516,516,化学(精细化学品化学与技术)(0516)
28,15053001,15053001,食品151,5,化学化工学院,2015,2015,1,533,533,食品科学与工程(食品科学与工程)(0533)
29,15053002,15053002,食品152,5,化学化工学院,2015,2015,1,532,532,食品科学与工程(食品质量与安全)(0532)
30,15061001,15061001,计机151,6,计算机科学与网络工程学院,2015,2015,1,610,610,计算机科学与技术(0610)
31,15061002,15061002,计机152,6,计算机科学与网络工程学院,2015,2015,1,610,610,计算机科学与技术(0610)
32,15063004,15063004,软件151,6,计算机科学与网络工程学院,2015,2015,1,630,630,软件工程(0630)
33,15063005,15063005,软件152,6,计算机科学与网络工程学院,2015,2015,1,630,630,软件工程(0630)
34,15063006,15063006,软件153,6,计算机科学与网络工程学院,2015,2015,1,630,630,软件工程(0630)
35,15062002,15062002,网络151,6,计算机科学与网络工程学院,2015,2015,1,620,620,网络工程(0620)
36,15062003,15062003,网络152,6,计算机科学与网络工程学院,2015,2015,1,620,620,网络工程(0620)
37,15073001,15073001,电气151,7,机械与电气工程学院,2015,2015,1,733,733,电气工程及其自动化(电力系统自动化)(0733)
38,15073002,15073002,电气152,7,机械与电气工程学院,2015,2015,1,733,733,电气工程及其自动化(电力系统自动化)(0733)
39,15073003,15073003,电气153,7,机械与电气工程学院,2015,2015,1,734,734,电气工程及其自动化(工业自动化)(0734)
40,15073004,15073004,电气154,7,机械与电气工程学院,2015,2015,1,734,734,电气工程及其自动化(工业自动化)(0734)
41,15074001,15074001,电信151,7,机械与电气工程学院,2015,2015,1,741,741,电子信息工程(电子信息工程)(0741)
42,15074002,15074002,电信152,7,机械与电气工程学院,2015,2015,1,743,743,电子信息工程(音视频与艺术照明工程)(0743)
43,15075001,15075001,工业151,7,机械与电气工程学院,2015,2015,1,750,750,工业设计(0750)
44,15072001,15072001,机械151,7,机械与电气工程学院,2015,2015,1,720,720,机械设计制造及其自动化(0720)
45,15072002,15072002,机械152,7,机械与电气工程学院,2015,2015,1,720,720,机械设计制造及其自动化(0720)
46,15072003,15072003,机械153,7,机械与电气工程学院,2015,2015,1,720,720,机械设计制造及其自动化(0720)
47,15072004,15072004,机械154,7,机械与电气工程学院,2015,2015,1,720,720,机械设计制造及其自动化(0720)
48,15076001,15076001,通信151,7,机械与电气工程学院,2015,2015,1,760,760,通信工程(0760)
49,15082001,15082001,教技151,8,教育学院(师范学院),2015,2015,1,820,820,教育技术学(0820)
50,15086001,15086001,小教151,8,教育学院(师范学院),2015,2015,1,860,860,小学教育(0860)
51,15083001,15083001,心理151,8,教育学院(师范学院),2015,2015,1,830,830,心理学(0830)
52,15083002,15083002,心理152,8,教育学院(师范学院),2015,2015,1,831,831,心理学(特殊儿童心理发展与教育)(0831)
53,15085001,15085001,学前151,8,教育学院(师范学院),2015,2015,1,850,850,学前教育(0850)
54,15084001,15084001,应心151,8,教育学院(师范学院),2015,2015,1,840,840,应用心理学(0840)
55,15095001,15095001,城规151,9,建筑与城市规划学院,2015,2015,1,950,950,城乡规划(0950)
56,15095002,15095002,城规152,9,建筑与城市规划学院,2015,2015,1,950,950,城乡规划(0950)
57,15091001,15091001,建筑151,9,建筑与城市规划学院,2015,2015,1,910,910,建筑学(0910)
58,15091002,15091002,建筑152,9,建筑与城市规划学院,2015,2015,1,910,910,建筑学(0910)
59,15091003,15091003,建筑153,9,建筑与城市规划学院,2015,2015,1,910,910,建筑学(0910)
60,15093101,15093101,景观151,9,建筑与城市规划学院,2015,2015,1,931,931,建筑学(景观建筑)(0931)
61,15097001,15097001,园林151,9,建筑与城市规划学院,2015,2015,1,970,970,风景园林(0970)
62,15097002,15097002,园林152,9,建筑与城市规划学院,2015,2015,1,970,970,风景园林(0970)
63,15103001,15103001,会展151,10,旅游学院(中法旅游学院),2015,2015,1,1030,1030,会展经济与管理(1030)
64,15103002,15103002,会展152,10,旅游学院(中法旅游学院),2015,2015,1,1030,1030,会展经济与管理(1030)
65,15103003,15103003,会展153,10,旅游学院(中法旅游学院),2015,2015,1,1030,1030,会展经济与管理(1030)
66,15101001,15101001,旅游151,10,旅游学院(中法旅游学院),2015,2015,1,1015,1015,旅游管理(旅游企业管理)(1015)
67,15101002,15101002,旅游152,10,旅游学院(中法旅游学院),2015,2015,1,1013,1013,旅游管理(酒店管理)(1013)
68,15101003,15101003,旅游153,10,旅游学院(中法旅游学院),2015,2015,1,1015,1015,旅游管理(旅游企业管理)(1015)
69,15101004,15101004,旅游154,10,旅游学院(中法旅游学院),2015,2015,1,1027,1027,旅游管理(校企协同育人实验班)(1027)
70,15102001,15102001,中法151,10,旅游学院(中法旅游学院),2015,2015,1,1026,1026,旅游管理[中法](1026)
71,15102002,15102002,中法152,10,旅游学院(中法旅游学院),2015,2015,1,1026,1026,旅游管理[中法](1026)
72,15102003,15102003,中法153,10,旅游学院(中法旅游学院),2015,2015,1,,,
73,15117001,15117001,产品151,11,美术与设计学院,2015,2015,1,1170,1170,产品设计(1170)
74,15117002,15117002,产品152,11,美术与设计学院,2015,2015,1,1170,1170,产品设计(1170)
