,bh,bh_id,bj,jg_id,jgmc,njdm_id,njmc,xqh_id,zyh,zyh_id,zymc
0,13015001,13015001,地规131,01,地理科学学院,2013,2013,1,0151,0151,人文地理与城乡规划(不动产)(0151)
1,13015002,13015002,地规132,01,地理科学学院,2013,2013,1,0152,0152,人文地理与城乡规划(区域物流)(0152)
2,14015001,14015001,地规141,01,地理科学学院,2014,2014,1,0151,0151,人文地理与城乡规划(不动产)(0151)
3,14015002,14015002,地规142,01,地理科学学院,2014,2014,1,0152,0152,人文地理与城乡规划(区域物流)(0152)
4,15015001,15015001,地规151,01,地理科学学院,2015,2015,1,0151,0151,人文地理与城乡规划(不动产)(0151)
5,15015002,15015002,地规152,01,地理科学学院,2015,2015,1,0152,0152,人文地理与城乡规划(区域物流)(0152)
6,16015001,16015001,地规161,01,地理科学学院,2016,2016,1,0151,0151,人文地理与城乡规划(不动产)(0151)
7,16015002,16015002,地规162,01,地理科学学院,2016,2016,1,0152,0152,人文地理与城乡规划(区域物流)(0152)
8,17015001,17015001,地规171,01,地理科学学院,2017,2017,1,0151,0151,人文地理与城乡规划(不动产)(0151)
9,17015002,17015002,地规172,01,地理科学学院,2017,2017,1,0151,0151,人文地理与城乡规划(不动产)(0151)
10,180150001,180150001,地规181,01,地理科学学院,2018,2018,1,0150,0150,人文地理与城乡规划(0150)
11,180150002,180150002,地规182,01,地理科学学院,2018,2018,1,0150,0150,人文地理与城乡规划(0150)
12,190150001,190150001,地规191,01,地理科学学院,2019,2019,1,0150,0150,人文地理与城乡规划(0150)
13,190150002,190150002,地规192,01,地理科学学院,2019,2019,1,0150,0150,人文地理与城乡规划(0150)
14,190150003,190150003,地规193,01,地理科学学院,2019,2019,1,0150,0150,人文地理与城乡规划(0150)
15,13016001,13016001,地环131,01,地理科学学院,2013,2013,1,0160,0160,自然地理与资源环境(0160)
16,14016001,14016001,地环141,01,地理科学学院,2014,2014,1,0160,0160,自然地理与资源环境(0160)
17,15016001,15016001,地环151,01,地理科学学院,2015,2015,1,0160,0160,自然地理与资源环境(0160)
18,0501A101,0501A101,地理051,01,地理科学学院,2005,,1,01A1,01A1,
19,0601A101,0601A101,地理061,01,地理科学学院,2006,2006,1,01A1,01A1,
20,0701A101,0701A101,地理071,01,地理科学学院,2007,2007,1,01A1,01A1,
21,08011001,08011001,地理081,01,地理科学学院,2008,2008,1,0110,0110,地理科学(0110)
22,09011001,09011001,地理091,01,地理科学学院,2009,2009,1,0110,0110,地理科学(0110)
23,10011001,10011001,地理101,01,地理科学学院,2010,2010,1,0110,0110,地理科学(0110)
24,11011001,11011001,地理111,01,地理科学学院,2011,2011,1,0110,0110,地理科学(0110)
25,12011001,12011001,地理121,01,地理科学学院,2012,2012,1,0110,0110,地理科学(0110)
26,13011001,13011001,地理131,01,地理科学学院,2013,2013,1,0110,0110,地理科学(0110)
27,14011001,14011001,地理141,01,地理科学学院,2014,2014,1,0110,0110,地理科学(0110)
28,15011001,15011001,地理151,01,地理科学学院,2015,2015,1,0110,0110,地理科学(0110)
29,16011001,16011001,地理161,01,地理科学学院,2016,2016,1,0110,0110,地理科学(0110)
30,17011001,17011001,地理171,01,地理科学学院,2017,2017,1,0110,0110,地理科学(0110)
31,17011002,17011002,地理172,01,地理科学学院,2017,2017,1,0110,0110,地理科学(0110)
32,180110001,180110001,地理181,01,地理科学学院,2018,2018,1,0110,0110,地理科学(0110)
33,180111002,180111002,地理182,01,地理科学学院,2018,2018,1,0111,6BC10423C2EF3226E053206411AC7AEF,地理科学(师范)(0111)
34,180111001,180111001,地理183,01,地理科学学院,2018,2018,1,0111,6BC10423C2EF3226E053206411AC7AEF,地理科学(师范)(0111)
35,190110001,190110001,地理191,01,地理科学学院,2019,2019,1,0110,0110,地理科学(0110)
36,190111002,190111002,地理192,01,地理科学学院,2019,2019,1,0111,6BC10423C2EF3226E053206411AC7AEF,地理科学(师范)(0111)
37,190111001,190111001,地理193,01,地理科学学院,2019,2019,1,0111,6BC10423C2EF3226E053206411AC7AEF,地理科学(师范)(0111)
38,05012001,05012001,地信051,01,地理科学学院,2005,,1,0120,0120,
39,06012001,06012001,地信061,01,地理科学学院,2006,2006,1,0120,0120,
40,07012001,07012001,地信071,01,地理科学学院,2007,2007,1,0120,0120,
41,08012001,08012001,地信081,01,地理科学学院,2008,2008,1,0120,0120,
42,09012001,09012001,地信091,01,地理科学学院,2009,2009,1,0120,0120,
43,09012002,09012002,地信092,01,地理科学学院,2009,2009,1,0120,0120,
44,10012001,10012001,地信101,01,地理科学学院,2010,2010,1,0120,0120,
45,10012002,10012002,地信102,01,地理科学学院,2010,2010,1,0120,0120,
46,11012001,11012001,地信111,01,地理科学学院,2011,2011,1,0120,0120,
47,12012001,12012001,地信121,01,地理科学学院,2012,2012,1,0120,0120,
48,13014001,13014001,地信131,01,地理科学学院,2013,2013,1,0140,0140,地理信息科学(0140)
49,14014001,14014001,地信141,01,地理科学学院,2014,2014,1,0140,0140,地理信息科学(0140)
50,15014001,15014001,地信151,01,地理科学学院,2015,2015,1,0140,0140,地理信息科学(0140)
51,16014001,16014001,地信161,01,地理科学学院,2016,2016,1,0140,0140,地理信息科学(0140)
52,17014001,17014001,地信171,01,地理科学学院,2017,2017,1,0140,0140,地理信息科学(0140)
53,180140001,180140001,地信181,01,地理科学学院,2018,2018,1,0140,0140,地理信息科学(0140)
54,180140002,180140002,地信182,01,地理科学学院,2018,2018,1,0140,0140,地理信息科学(0140)
55,190140001,190140001,地信191,01,地理科学学院,2019,2019,1,0140,0140,地理信息科学(0140)
56,190140002,190140002,地信192,01,地理科学学院,2019,2019,1,0140,0140,地理信息科学(0140)
57,190140003,190140003,地信193,01,地理科学学院,2019,2019,1,0140,0140,地理信息科学(0140)
58,17017001,17017001,土地171,01,地理科学学院,2017,2017,1,0170,0170,土地资源管理(0170)
59,16017001,16017001,土管161,01,地理科学学院,2016,2016,1,0170,0170,土地资源管理(0170)
60,08013101,08013101,资环081,01,地理科学学院,2008,2008,1,0131,0131,
61,08013202,08013202,资环082,01,地理科学学院,2008,2008,1,0132,0132,
62,08013203,08013203,资环083,01,地理科学学院,2008,2008,1,0132,0132,
63,09013001,09013001,资环091,01,地理科学学院,2009,2009,1,0131,0131,
64,09013002,09013002,资环092,01,地理科学学院,2009,2009,1,0132,0132,
65,10013001,10013001,资环101,01,地理科学学院,2010,2010,1,0131,0131,
66,10013002,10013002,资环102,01,地理科学学院,2010,2010,1,0132,0132,
67,11013001,11013001,资环111,01,地理科学学院,2011,2011,1,0132,0132,
68,11013002,11013002,资环112,01,地理科学学院,2011,2011,1,0131,0131,
69,11013003,11013003,资环113,01,地理科学学院,2011,2011,1,0131,0131,
70,12013001,12013001,资环121,01,地理科学学院,2012,2012,1,0131,0131,
71,12013002,12013002,资环122,01,地理科学学院,2012,2012,1,0131,0131,
72,12013003,12013003,资环123,01,地理科学学院,2012,2012,1,0132,0132,
73,0501A201,0501A201,资源051,01,地理科学学院,2005,,1,01A2,01A2,
74,0501A302,0501A302,资源052,01,地理科学学院,2005,,1,01A3,01A3,
75,0501A303,0501A303,资源053,01,地理科学学院,2005,,1,01A3,01A3,
76,0601A201,0601A201,资源061,01,地理科学学院,2006,2006,1,01A2,01A2,
77,0601A302,0601A302,资源062,01,地理科学学院,2006,2006,1,01A3,01A3,
78,0601A303,0601A303,资源063,01,地理科学学院,2006,2006,1,01A3,01A3,
79,0701A201,0701A201,资源071,01,地理科学学院,2007,2007,1,01A2,01A2,
80,0701A302,0701A302,资源072,01,地理科学学院,2007,2007,1,01A3,01A3,
81,0701A303,0701A303,资源073,01,地理科学学院,2007,2007,1,01A3,01A3,
82,05021001,05021001,法学051,02,法学院(律师学院)(含检察理论研究中心),2005,,1,0210,0210,法学(0210)
83,05021002,05021002,法学052,02,法学院(律师学院)(含检察理论研究中心),2005,,1,0210,0210,法学(0210)
84,05021003,05021003,法学053,02,法学院(律师学院)(含检察理论研究中心),2005,,1,0210,0210,法学(0210)
85,05021004,05021004,法学054,02,法学院(律师学院)(含检察理论研究中心),2005,,1,0210,0210,法学(0210)
86,05022005,05022005,法学055,02,法学院(律师学院)(含检察理论研究中心),2005,,1,0220,0220,
87,05021006,05021006,法学056,02,法学院(律师学院)(含检察理论研究中心),2005,,1,0210,0210,法学(0210)
88,06021001,06021001,法学061,02,法学院(律师学院)(含检察理论研究中心),2006,2006,1,0210,0210,法学(0210)
89,06021002,06021002,法学062,02,法学院(律师学院)(含检察理论研究中心),2006,2006,1,0210,0210,法学(0210)
90,06021003,06021003,法学063,02,法学院(律师学院)(含检察理论研究中心),2006,2006,1,0210,0210,法学(0210)
91,06021005,06021005,法学065,02,法学院(律师学院)(含检察理论研究中心),2006,2006,1,0210,0210,法学(0210)
92,07021001,07021001,法学071,02,法学院(律师学院)(含检察理论研究中心),2007,2007,1,0210,0210,法学(0210)
93,07021002,07021002,法学072,02,法学院(律师学院)(含检察理论研究中心),2007,2007,1,0210,0210,法学(0210)
94,07021003,07021003,法学073,02,法学院(律师学院)(含检察理论研究中心),2007,2007,1,0210,0210,法学(0210)
95,08021001,08021001,法学081,02,法学院(律师学院)(含检察理论研究中心),2008,2008,1,0210,0210,法学(0210)
96,08021002,08021002,法学082,02,法学院(律师学院)(含检察理论研究中心),2008,2008,1,0210,0210,法学(0210)
97,08021003,08021003,法学083,02,法学院(律师学院)(含检察理论研究中心),2008,2008,1,0210,0210,法学(0210)
98,08022004,08022004,法学084,02,法学院(律师学院)(含检察理论研究中心),2008,2008,1,0220,0220,
