,jg_id,jgmc,zyh,zyh_id,zymc
0,01,地理科学学院,0110,0110,地理科学(0110)
1,01,地理科学学院,0111,6BC10423C2EF3226E053206411AC7AEF,地理科学(师范)(0111)
2,01,地理科学学院,0140,0140,地理信息科学(0140)
3,01,地理科学学院,0150,0150,人文地理与城乡规划(0150)
4,01,地理科学学院,0151,0151,人文地理与城乡规划(不动产)(0151)
5,01,地理科学学院,0152,0152,人文地理与城乡规划(区域物流)(0152)
6,01,地理科学学院,0170,0170,土地资源管理(0170)
7,01,地理科学学院,0160,0160,自然地理与资源环境(0160)
8,02,法学院(律师学院)(含检察理论研究中心),0210,0210,法学(0210)
9,02,法学院(律师学院)(含检察理论研究中心),0212,0212,法学(律师)(0212)
10,03,公共管理学院(含廉政研究中心),0340,0340,公共事业管理(0340)
11,03,公共管理学院(含廉政研究中心),0334,0334,公共事业管理（高水平运动员）(0334)
12,03,公共管理学院(含廉政研究中心),0310,0310,社会工作(0310)
13,03,公共管理学院(含廉政研究中心),0350,0350,社会学(0350)
14,03,公共管理学院(含廉政研究中心),0330,0330,行政管理(0330)
15,03,公共管理学院(含廉政研究中心),0335,6BD8EE1CC2A56069E053206411AC509D,行政管理（高水平运动员）(0335)
16,04,环境科学与工程学院,0410,0410,环境工程(0410)
17,04,环境科学与工程学院,0420,0420,环境科学(0420)
18,05,化学化工学院,0510,0510,化学(0510)
19,05,化学化工学院,0515,0515,化学(功能材料化学)(0515)
20,05,化学化工学院,0514,0514,化学(教师教育)(0514)
21,05,化学化工学院,0516,0516,化学(精细化学品化学与技术)(0516)
22,05,化学化工学院,0517,6BC10423C2E73226E053206411AC7AEF,化学(师范)(0517)
23,05,化学化工学院,0520,0520,化学工程与工艺(0520)
24,05,化学化工学院,0530,0530,食品科学与工程(0530)
25,05,化学化工学院,0533,0533,食品科学与工程(食品科学与工程)(0533)
26,05,化学化工学院,0532,0532,食品科学与工程(食品质量与安全)(0532)
27,06,计算机科学与网络工程学院,0610,0610,计算机科学与技术(0610)
28,06,计算机科学与网络工程学院,06A3,06A3,计算机类综合试点班(06A3)
29,06,计算机科学与网络工程学院,0630,0630,软件工程(0630)
30,06,计算机科学与网络工程学院,0620,0620,网络工程(0620)
31,06,计算机科学与网络工程学院,0640,871D5A1239DD0D12E053206411ACE230,网络空间安全(0640)
32,07,机械与电气工程学院,0730,0730,电气工程及其自动化(0730)
33,07,机械与电气工程学院,0733,0733,电气工程及其自动化(电力系统自动化)(0733)
34,07,机械与电气工程学院,0734,0734,电气工程及其自动化(工业自动化)(0734)
35,07,机械与电气工程学院,0740,0740,电子信息工程(0740)
36,07,机械与电气工程学院,0741,0741,电子信息工程(电子信息工程)(0741)
37,07,机械与电气工程学院,0742,0742,电子信息工程(通信工程)(0742)
38,07,机械与电气工程学院,0743,0743,电子信息工程(音视频与艺术照明工程)(0743)
39,07,机械与电气工程学院,0750,0750,工业设计(0750)
40,07,机械与电气工程学院,0770,0770,机器人工程(0770)
41,07,机械与电气工程学院,0720,0720,机械设计制造及其自动化(0720)
42,07,机械与电气工程学院,0760,0760,通信工程(0760)
43,08,教育学院(师范学院),0820,0820,教育技术学(0820)
44,08,教育学院(师范学院),0822,0822,教育技术学(师范)(0822)
45,08,教育学院(师范学院),0810,0810,教育学(0810)
46,08,教育学院(师范学院),0813,0813,教育学(特殊儿童心理与教育)(0813)
47,08,教育学院(师范学院),0870,0870,特殊教育(0870)
48,08,教育学院(师范学院),0871,6BC10423C2CF3226E053206411AC7AEF,特殊教育(师范)(0871)
49,08,教育学院(师范学院),0860,0860,小学教育(0860)
50,08,教育学院(师范学院),0861,6BC10423C2C23226E053206411AC7AEF,小学教育(师范)(0861)
51,08,教育学院(师范学院),0830,0830,心理学(0830)
52,08,教育学院(师范学院),0831,0831,心理学(特殊儿童心理发展与教育)(0831)
53,08,教育学院(师范学院),0850,0850,学前教育(0850)
54,08,教育学院(师范学院),0851,6BC10423C2C53226E053206411AC7AEF,学前教育(师范)(0851)
55,08,教育学院(师范学院),0840,0840,应用心理学(0840)
56,08,教育学院(师范学院),0843,0843,应用心理学(人力资源测评与开发)(0843)
57,08,教育学院(师范学院),0844,0844,应用心理学(社会工作心理)(0844)
58,08,教育学院(师范学院),0846,6BC10423C2CC3226E053206411AC7AEF,应用心理学(师范)(0846)
59,08,教育学院(师范学院),0845,0845,应用心理学(心理咨询与辅导)(0845)
60,09,建筑与城市规划学院,0920,0920,城市规划(0920)
61,09,建筑与城市规划学院,0950,0950,城乡规划(0950)
62,09,建筑与城市规划学院,0960,0960,城乡规划(风景园林)(0960)
63,09,建筑与城市规划学院,0970,0970,风景园林(0970)
64,09,建筑与城市规划学院,0910,0910,建筑学(0910)
65,09,建筑与城市规划学院,0930,0930,建筑学(环境设计)(0930)
66,09,建筑与城市规划学院,0931,0931,建筑学(景观建筑)(0931)
67,10,旅游学院(中法旅游学院),1030,1030,会展经济与管理(1030)
68,10,旅游学院(中法旅游学院),1010,1010,旅游管理(1010)
69,10,旅游学院(中法旅游学院),1013,1013,旅游管理(酒店管理)(1013)
70,10,旅游学院(中法旅游学院),1015,1015,旅游管理(旅游企业管理)(1015)
71,10,旅游学院(中法旅游学院),1027,1027,旅游管理(校企协同育人实验班)(1027)
72,10,旅游学院(中法旅游学院),1021,1021,旅游管理(中法)(酒店与餐饮管理)(1021)
73,10,旅游学院(中法旅游学院),1025,1025,旅游管理(中法)(旅游企业管理)(1025)
74,10,旅游学院(中法旅游学院),1024,1024,旅游管理(中法)(商务旅游与休闲)(1024)
75,10,旅游学院(中法旅游学院),1026,1026,旅游管理[中法](1026)
76,11,美术与设计学院,1170,1170,产品设计(1170)
77,11,美术与设计学院,1120,1120,动画(1120)
78,11,美术与设计学院,1126,1126,动画(动画音乐与合成)(1126)
79,11,美术与设计学院,1127,1127,动画(影视动画)(1127)
80,11,美术与设计学院,1128,1128,动画(游戏动画)(1128)
81,11,美术与设计学院,1180,1180,服装与服饰设计(1180)
82,11,美术与设计学院,1182,1182,服装与服饰设计(服装表演与设计)(1182)
83,11,美术与设计学院,1181,1181,服装与服饰设计(服装设计)(1181)
84,11,美术与设计学院,1150,1150,工业设计(1150)
85,11,美术与设计学院,1139,1139,环境设计(1139)
86,11,美术与设计学院,1160,1160,绘画(1160)
87,11,美术与设计学院,1110,1110,美术学(1110)
88,11,美术与设计学院,1112,1112,美术学(工艺美术)(1112)
89,11,美术与设计学院,1111,1111,美术学(教师教育)(1111)
90,11,美术与设计学院,1113,6BC10423C2E13226E053206411AC7AEF,美术学(师范)(1113)
91,11,美术与设计学院,1114,6BC10423C2B13226E053206411AC7AEF,设计学类(1114)
92,11,美术与设计学院,1190,1190,视觉传达设计(1190)
93,11,美术与设计学院,1130,1130,艺术设计(1130)
94,11,美术与设计学院,1131,1131,艺术设计(视觉传达设计)(1131)
95,12,人文学院(含十三行研究中心),1240,1240,汉语国际教育(1240)
96,12,人文学院(含十三行研究中心),1210,1210,汉语言文学(1210)
97,12,人文学院(含十三行研究中心),1215,1215,汉语言文学(创作与编辑)(1215)
98,12,人文学院(含十三行研究中心),1211,1211,汉语言文学(教师教育)(1211)
99,12,人文学院(含十三行研究中心),1214,1214,汉语言文学(秘书学)(1214)
100,12,人文学院(含十三行研究中心),1217,6BC10423C2D83226E053206411AC7AEF,汉语言文学(师范)(1217)
101,12,人文学院(含十三行研究中心),1212,1212,汉语言文学(文学)(1212)
102,12,人文学院(含十三行研究中心),1216,1216,汉语言文学(戏剧与影视学)(1216)
103,12,人文学院(含十三行研究中心),1213,1213,汉语言文学(应用语言学)(1213)
104,12,人文学院(含十三行研究中心),1220,1220,历史学(1220)
105,12,人文学院(含十三行研究中心),1221,1221,历史学(教师教育)(1221)
106,12,人文学院(含十三行研究中心),1223,6BC10423C2D53226E053206411AC7AEF,历史学(师范)(1223)
107,12,人文学院(含十三行研究中心),1222,1222,历史学(文化资源开发与利用)(1222)
108,12,人文学院(含十三行研究中心),1250,1250,少数民族预科班(1250)
109,14,生命科学学院,1420,1420,生物工程(1420)
110,14,生命科学学院,1430,1430,生物技术(1430)
111,14,生命科学学院,1410,1410,生物科学(1410)
112,14,生命科学学院,1413,6BC10423C2F23226E053206411AC7AEF,生物科学(师范)(1413)
113,14,生命科学学院,1440,871BF5E93F0A58ECE053206411ACD664,生物制药(1440)
114,15,数学与信息科学学院,1510,1510,数学与应用数学(1510)
115,15,数学与信息科学学院,1513,1513,数学与应用数学(基础数学)(1513)
116,15,数学与信息科学学院,1511,1511,数学与应用数学(教师教育)(1511)
117,15,数学与信息科学学院,1512,1512,数学与应用数学(金融数学)(1512)
118,15,数学与信息科学学院,1514,1514,数学与应用数学(精算学)(1514)
119,15,数学与信息科学学院,1515,6BC10423C2E43226E053206411AC7AEF,数学与应用数学(师范)(1515)
120,15,数学与信息科学学院,1530,1530,信息安全(1530)
121,15,数学与信息科学学院,1520,1520,信息与计算科学(1520)
122,16,土木工程学院,1650,1650,给排水科学与工程(1650)
123,16,土木工程学院,1660,1660,建筑环境与能源应用工程(1660)
124,16,土木工程学院,1620,1620,交通工程(1620)
125,16,土木工程学院,1610,1610,土木工程(1610)
126,16,土木工程学院,1612,1612,土木工程(道路与桥梁工程)(1612)
127,16,土木工程学院,1613,1613,土木工程(地下建筑工程)(1613)
128,16,土木工程学院,1615,1615,土木工程(福霖班）(1615)
129,16,土木工程学院,1611,1611,土木工程(建筑工程)(1611)
130,16,土木工程学院,1614,1614,土木工程(结构分析)(1614)
131,16,土木工程学院,1670,1670,土木工程(综合试点)(1670)
132,16,土木工程学院,1690,1690,土木工程（特色专业试点班）(1690)
133,16,土木工程学院,16A5,16A5,土木工程综合试点班(16A5)
134,16,土木工程学院,1616,6BBF95A168AC62B5E0531F6411ACE3F1,土木学院大类(1616)
135,17,体育学院,1730,1730,社会体育指导与管理(1730)
136,17,体育学院,1710,1710,体育教育(1710)
137,17,体育学院,1711,6BC10423C2D23226E053206411AC7AEF,体育教育(师范)(1711)
138,18,外国语学院,1830,1830,法语(1830)
139,18,外国语学院,1820,1820,日语(1820)
140,18,外国语学院,1810,1810,英语(1810)
141,18,外国语学院,1812,1812,英语(翻译)(1812)
142,18,外国语学院,1811,1811,英语(国际商务)(1811)
143,18,外国语学院,1814,1814,英语(教师教育)(1814)
144,18,外国语学院,1815,6BC10423C2DB3226E053206411AC7AEF,英语(师范)(1815)
145,19,物理与电子工程学院,1920,1920,电子信息科学与技术(1920)
146,19,物理与电子工程学院,1923,1923,电子信息科学与技术(物联网技术)(1923)
147,19,物理与电子工程学院,1940,1940,光电信息科学与工程(1940)
148,19,物理与电子工程学院,1930,1930,光信息科学与技术(1930)
149,19,物理与电子工程学院,1910,1910,物理学(1910)
150,19,物理与电子工程学院,19A5,19A5,物理学(教师教育)(19A5)
151,19,物理与电子工程学院,1911,6BC10423C2EC3226E053206411AC7AEF,物理学(师范)(1911)
152,19,物理与电子工程学院,1950,1950,物联网工程(1950)
153,20,新闻与传播学院,2030,2030,播音与主持艺术(2030)
154,20,新闻与传播学院,2040,2040,广播电视编导(2040)
155,20,新闻与传播学院,2041,2041,广播电视编导(校企协同育人实验班)(2041)
156,20,新闻与传播学院,2012,2012,广播电视新闻学(网络传播)(2012)
157,20,新闻与传播学院,20A6,20A6,广播电视新闻学（网络传播）(20A6)
158,20,新闻与传播学院,2050,2050,广播电视学(2050)
159,20,新闻与传播学院,2020,2020,广告学(2020)
160,20,新闻与传播学院,2060,2060,网络与新媒体(2060)
161,21,音乐舞蹈学院,2120,2120,舞蹈编导(2120)
162,21,音乐舞蹈学院,2122,2122,舞蹈编导(编导)(2122)
163,21,音乐舞蹈学院,2121,2121,舞蹈编导(教师教育)(2121)
164,21,音乐舞蹈学院,2110,2110,音乐学(2110)
165,21,音乐舞蹈学院,2111,2111,音乐学(教师教育)(2111)
166,21,音乐舞蹈学院,2112,2112,音乐学(社会音乐)(2112)
167,21,音乐舞蹈学院,2113,6BC10423C2DE3226E053206411AC7AEF,音乐学(师范)(2113)
168,63,马克思主义学院(政治与公民教育学院),6310,6310,思想政治教育(6310)
169,63,马克思主义学院(政治与公民教育学院),6311,6BC10423C2BF3226E053206411AC7AEF,思想政治教育(师范)(6311)
170,64,经济与统计学院,6410,6410,国际经济与贸易(6410)
171,64,经济与统计学院,6430,6430,会计学(6430)
172,64,经济与统计学院,6460,6460,金融工程(6460)
173,64,经济与统计学院,6420,6420,金融学(6420)
174,64,经济与统计学院,6450,6450,经济学(6450)
175,64,经济与统计学院,6470,6BC10423C2BC3226E053206411AC7AEF,数据科学与大数据技术(6470)
176,64,经济与统计学院,6440,6440,统计学(6440)
177,65,工商管理学院,6580,6580,电子商务(6580)
178,65,工商管理学院,6510,6510,房地产开发与管理(6510)
179,65,工商管理学院,6540,6540,工程管理(6540)
180,65,工商管理学院,6542,6542,工程管理(房地产经营管理)(6542)
181,65,工商管理学院,6541,6541,工程管理(投资与造价管理)(6541)
182,65,工商管理学院,6543,6543,工程管理(物业管理)(6543)
183,65,工商管理学院,6530,6530,工程造价(6530)
184,65,工商管理学院,6550,6550,工商管理(6550)
185,65,工商管理学院,6570,6570,人力资源管理(6570)
186,65,工商管理学院,6560,6560,市场营销(6560)
187,65,工商管理学院,6590,6590,物流管理(6590)
188,66,卫斯理安学院,6612,6612,工商管理(卫斯理安)(6612)
